Unnamed: 0,title,datetime,browse_count,discussion_count,browse_log_norm
117,英雄主义无关性别,2024-09-12 16:00:00,23039000,67000,16.95269899007226
118,offer6一上来就开庭,2024-09-12 16:00:00,18850000,49000,16.752023471858294
119,妈妈带罕见病男孩看病14年仍没确诊,2024-09-12 16:00:00,12513000,521,16.342278661847192
120,歼20雨中起降首次公开,2024-09-12 16:04:00,10548000,1329,16.171446826455313
121,2男孩把猫扔湖里被大学生厉声制止,2024-09-12 16:06:00,53146000,8588,17.788553401218365
122,教育局回应家长做局偷拍教师收礼物,2024-09-12 16:09:00,30102000,4601,17.220102172694446
123,山东一高校突发男生坠楼事件,2024-09-12 16:10:00,79139000,14000,18.186716358006493
124,上海警方调查女代驾凌晨遭男子殴打,2024-09-12 16:14:00,10618000,1597,16.178061232125753
125,碎花裙女生拼尽全力敲打行凶者,2024-09-12 16:42:00,96905000,19000,18.389241675116985
126,杨幂蜜蜂耳环,2024-09-12 16:46:00,35401000,11000,17.38225062629259
127,林诗栋vs张本智和,2024-09-12 16:48:00,46340000,15000,17.651516076968505
128,林诗栋首胜张本智和,2024-09-12 16:48:00,25271000,5661,17.04516805119715
129,南宁将迎最高洪峰,2024-09-12 16:51:00,7099000,1568,15.775464487021525
130,黄子韬把徐艺洋拍成恐怖片,2024-09-12 17:05:00,13898000,1235,16.44725550285641
131,记嘱托识校训践青春,2024-09-12 17:39:00,6459000,297,15.68098506501461
132,疑郑州一名校教职工吃鲜肉学生吃冻肉,2024-09-12 17:43:00,53986000,6935,17.8042353116558
133,徐艺洋真的不会打死黄子韬吗,2024-09-12 17:58:00,160000000,19000,18.890684373198106
134,原来坚持打乒乓有这么多好处,2024-09-12 17:59:00,50204000,3150,17.731605262762475
135,王俊凯清唱蒲公英的约定,2024-09-12 18:10:00,14958000,26000,16.52075683173375
136,这三种照片千万不要随便晒,2024-09-12 18:20:00,81495000,14000,18.21605222663587
137,刚开学非全研究生已经想退学了,2024-09-12 18:37:00,45324000,4250,17.629347251482596
138,HYBE否认ILLIT经纪人无视Hanni,2024-09-12 18:38:00,35633000,7626,17.38878273274646
139,碎花裙女生和拿勺大厨都将被奖励,2024-09-12 18:38:00,23664000,2487,16.97946546393272
140,一个28岁女孩假装上班的两年,2024-09-12 18:44:00,88771000,12000,18.30157057804808
141,月销5000万元的香港月饼香港买不到,2024-09-12 18:46:00,110000000,22000,18.51599092375669
142,直播间卖香港月饼称99元3盒,2024-09-12 18:46:00,49662000,12000,17.72075061109559
143,人类首次商业太空行走即将进行,2024-09-12 18:55:00,5136000,870,15.451785124351934
144,湖南中秋晚会官宣阵容,2024-09-12 18:57:00,32126000,9777,17.28517622909985
145,黑神话悟空总收入近65亿,2024-09-12 19:14:00,49908000,7097,17.72569186851305
146,解放军兵棋推演画面曝光,2024-09-12 19:20:00,13700000,2027,16.432906390798355
147,殷世航说韩安冉把孩子带好比什么都强,2024-09-12 19:23:00,92344000,2167,18.341031292276885
148,凌晨被送阿胶女子手写8页感谢信,2024-09-12 19:30:00,5423000,3387,15.506159725823196
149,父亲实名羡慕女儿考上985,2024-09-12 19:31:00,69212000,14000,18.05268481595868
150,Scout经纪公司喊话EDG,2024-09-12 19:31:00,24544000,5308,17.01597798314912
